target_id,period,true_label
10000162,409.38645,UNKNOWN
10000490,1.400991827,FALSE_POSITIVE
10000941,2.5738437,CONFIRMED
10001368,4.76831033,CONFIRMED
100014359,0.5045539,UNKNOWN
10002049,19.2532128,UNKNOWN
10002261,12.713794177,FALSE_POSITIVE
10002266,12.71368909,FALSE_POSITIVE
10002866,3.936993144,CONFIRMED
10003058,148.568877,UNKNOWN
10004515,25.26363805,FALSE_POSITIVE
10004519,9.80321143,CONFIRMED
10004738,56.4758069,CONFIRMED
10004772,1.391716834,FALSE_POSITIVE
10005020,6.97106919,FALSE_POSITIVE
10005758,134.4785189,CONFIRMED
10005788,10.99470891,CONFIRMED
10006096,70.516233809,FALSE_POSITIVE
10006581,40.1097817,CONFIRMED
10006641,0.894172544,FALSE_POSITIVE
10007492,2.645596805,FALSE_POSITIVE
10007916,388.67155,UNKNOWN
100097716,3.0002084,UNKNOWN
100099031,1.2979921,UNKNOWN
100100827,0.9414525,UNKNOWN
10010440,53.5991459,CONFIRMED
10010452,358.74318,FALSE_POSITIVE
10011213,376.37989,UNKNOWN
10014702,1.34062901,FALSE_POSITIVE
1001477809,7.6605425,UNKNOWN
10014875,453.64875,FALSE_POSITIVE
10015516,67.69213907,FALSE_POSITIVE
10015937,59.6585348,CONFIRMED
10016874,16.30141333,UNKNOWN
10018233,16.2959916,CONFIRMED
10018364,105.6327297,FALSE_POSITIVE
10019065,52.6298542,CONFIRMED
10019399,11.805707539,FALSE_POSITIVE
10019643,21.34736612,CONFIRMED
10019708,3.268695042,CONFIRMED
10019763,32.50456309,FALSE_POSITIVE
10019854,14.1011023,UNKNOWN
10020423,7.448375935,FALSE_POSITIVE
10022908,6.99130452,CONFIRMED
10023069,266.977677,FALSE_POSITIVE
10023469,44.637111,FALSE_POSITIVE
10024051,0.577369336,CONFIRMED
10024701,14.37504582,CONFIRMED
10026136,9.080194398,FALSE_POSITIVE
100263315,0.5940157,UNKNOWN
100264497,3.7724643,UNKNOWN
10026457,9.93442075,FALSE_POSITIVE
10026458,9.93443795,FALSE_POSITIVE
10026502,101.952048,CONFIRMED
10026544,176.331289,UNKNOWN
100267480,0.87741,UNKNOWN
10027247,86.829519,CONFIRMED
10027323,5.92365747,CONFIRMED
10027861,102.493119,UNKNOWN
10028127,367.947848,UNKNOWN
10028140,19.65639342,CONFIRMED
10028352,1.38680229,FALSE_POSITIVE
10028535,0.663085361,CONFIRMED
10028792,114.73658,CONFIRMED
10030778,29.47316279,FALSE_POSITIVE
10031409,2.071939672,FALSE_POSITIVE
10031500,8.589562,FALSE_POSITIVE
10031526,8.5893644,FALSE_POSITIVE
10031643,8.5898708,FALSE_POSITIVE
10031656,8.59000355,FALSE_POSITIVE
10031707,8.58966893,FALSE_POSITIVE
10031808,8.589644815,FALSE_POSITIVE
10031885,8.58969597,FALSE_POSITIVE
10031907,8.58965725,FALSE_POSITIVE
10031918,8.5900471,FALSE_POSITIVE
10033279,72.4914068,FALSE_POSITIVE
10034146,0.93198504,FALSE_POSITIVE
1003831,1.6511456,UNKNOWN
100389539,4.2809767,UNKNOWN
100474173,8.933107,UNKNOWN
100504381,5.46278,UNKNOWN
10053138,11.7728146,UNKNOWN
10055126,9.17617167,CONFIRMED
100566492,4.9549631,UNKNOWN
10057494,2.41810158,CONFIRMED
100589632,3.9471567,UNKNOWN
100589633,3.9471513,UNKNOWN
10059645,6.49441464,CONFIRMED
100608026,8.2617663,UNKNOWN
10063044,1.009671584,FALSE_POSITIVE
10063208,9.3281912,CONFIRMED
10063802,120.0183551,CONFIRMED
10064256,5.95958637,CONFIRMED
10064591,284.94212784,UNKNOWN
10065053,409.87844,UNKNOWN
10066755,2.46506501,UNKNOWN
10068024,2.023126394,FALSE_POSITIVE
10068030,2.023123903,FALSE_POSITIVE
100683605,3.270563,UNKNOWN
10068383,7.30497811,FALSE_POSITIVE
10068659,11.47685263,CONFIRMED
10068919,43.56225858,FALSE_POSITIVE
10070468,1.68189051,CONFIRMED
10070479,1.758599866,UNKNOWN
10073672,2.252976718,UNKNOWN
10074466,35.01190875,CONFIRMED
10074700,365.620697,FALSE_POSITIVE
10075409,360.33012,FALSE_POSITIVE
100757807,25.1760133,UNKNOWN
100769500,4.5016419,UNKNOWN
100780304,0.1846924,UNKNOWN
10079317,236.25776888,FALSE_POSITIVE
10079420,54.54312996,UNKNOWN
10079481,330.80879,FALSE_POSITIVE
10080248,14.8783945,CONFIRMED
10081899,522.64613,FALSE_POSITIVE
10083325,6.13292733,UNKNOWN
10083623,1.278555003,FALSE_POSITIVE
10089123,134.413808,UNKNOWN
10089911,6.96704926,CONFIRMED
10090151,0.527698548,FALSE_POSITIVE
10090219,2.28612573,FALSE_POSITIVE
10090257,2.28607282,FALSE_POSITIVE
10090854,12.63063129,UNKNOWN
100909102,3.1106751,UNKNOWN
10091110,4.218512654,FALSE_POSITIVE
10091257,1.70192371,FALSE_POSITIVE
100921768,4.90038,UNKNOWN
10092312,1.096587245,FALSE_POSITIVE
10093664,1.20693963,FALSE_POSITIVE
10094670,22.06402,CONFIRMED
10095484,0.677761275,FALSE_POSITIVE
10095512,3.008602107,FALSE_POSITIVE
10096697,191.272501,FALSE_POSITIVE
100974694,4.0589926,UNKNOWN
10098534,41.81145,FALSE_POSITIVE
10098540,286.02266,UNKNOWN
10098844,47.4497134,CONFIRMED
100990000,9.5730706,UNKNOWN
101011575,6.3980642,UNKNOWN
101037590,8.7094632,UNKNOWN
101133275,1.6630135,UNKNOWN
10118266,3.74318005,UNKNOWN
10118816,7.71790675,CONFIRMED
10118942,121.70747,FALSE_POSITIVE
10120548,8.8303681,UNKNOWN
10122255,27.6652847,CONFIRMED
10122538,12.2854718,CONFIRMED
101225566,6.2796518,UNKNOWN
10123064,4.243748097,CONFIRMED
101230735,2.0685633,UNKNOWN
10125352,4.288515468,FALSE_POSITIVE
101272159,18.8224069,UNKNOWN
10128825,1.73984941,UNKNOWN
10129482,0.846291334,FALSE_POSITIVE
10130039,12.75800092,CONFIRMED
10130057,2.17812826,FALSE_POSITIVE
10130646,390.40832,FALSE_POSITIVE
10132552,191.528018,FALSE_POSITIVE
10132832,16.07673148,CONFIRMED
10132908,386.59946,FALSE_POSITIVE
10134152,39.3135699,CONFIRMED
101348333,15.1873222,UNKNOWN
10136549,9.69315023,CONFIRMED
10139305,2.173552528,FALSE_POSITIVE
10139390,358.56462,FALSE_POSITIVE
101395259,7.574675,UNKNOWN
10139620,372.37369,FALSE_POSITIVE
10140122,0.849362238,UNKNOWN
10140274,2.44232399,UNKNOWN
10140843,367.19796,FALSE_POSITIVE
10141271,15.4032765,FALSE_POSITIVE
10141900,6.50327035,CONFIRMED
10141938,360.76458,FALSE_POSITIVE
10146103,7.58062893,UNKNOWN
10147276,0.681401611,FALSE_POSITIVE
10148521,1.204274435,FALSE_POSITIVE
