pl_name,hostname,pl_orbper,pl_rade,pl_masse,disc_year,discoverymethod
GJ 581 b,GJ 581,5.3686,,20.5,2005,Radial Velocity
GJ 1061 d,GJ 1061,13.031,,,2020,Radial Velocity
HD 17092 b,HD 17092,359.89999,,,2007,Radial Velocity
TOI-1789 b,TOI-1789,3.208664,16.14093221,222.4798849,2021,Transit
K2-198 d,K2-198,7.4500177,2.438,,2019,Transit
EPIC 249893012 c,EPIC 249893012,15.624,3.67,14.67,2020,Transit
Kepler-33 f,Kepler-33,41.02902,4.46,,2011,Transit
Kepler-778 b,Kepler-778,3.75574426,1.68,,2016,Transit
Kepler-1641 b,Kepler-1641,19.672266,3.11,,2016,Transit
HD 75289 b,HD 75289,3.50927,,,1999,Radial Velocity
Kepler-1266 c,Kepler-1266,4.86631012,1.68023962,,2021,Transit
Kepler-357 c,Kepler-357,16.85837,2.67,,2014,Transit
WASP-94 A b,WASP-94 A,3.95019,17.71022,158.915,2014,Transit
WASP-94 B b,WASP-94 B,2.00839,,,2014,Radial Velocity
Kepler-500 b,Kepler-500,8.508324398,2.58,,2016,Transit
Kepler-910 b,Kepler-910,2.364369015,0.82,,2016,Transit
Kepler-1573 b,Kepler-1573,2.6157554,1.2,,2016,Transit
Kepler-1342 b,Kepler-1342,2.215710358,1.66,,2016,Transit
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,,,1330.0,2017,Microlensing
TOI-2525 b,TOI-2525,23.2856,8.67575106,26.69758619,2023,Transit
Kepler-150 d,Kepler-150,12.56093,2.79,,2014,Transit
K2-345 b,K2-345,10.367437,2.11,,2021,Transit
K2-104 b,K2-104,1.9741954,1.79,,2016,Transit
Kepler-14 b,Kepler-14,6.790123,12.733,2669.66,2011,Transit
UZ For c,UZ For,1916.25,,2447.2,2011,Eclipse Timing Variations
HD 184010 d,HD 184010,836.4,,,2022,Radial Velocity
TOI-2193 A b,TOI-2193 A,2.1225735,19.83989584,298.75870258,2022,Transit
HD 154088 b,HD 154088,18.56,,,2021,Radial Velocity
Kepler-1193 b,Kepler-1193,2.832652134,1.32,,2016,Transit
Kepler-6 b,Kepler-6,3.2346996,14.616536,212.31044,2009,Transit
Kepler-1365 c,Kepler-1365,4.77468005,0.8,,2016,Transit
HD 81688 b,HD 81688,183.93,,,2007,Radial Velocity
Kepler-1126 b,Kepler-1126,108.593329,1.73,,2016,Transit
CoRoT-12 b,CoRoT-12,2.828042,16.14,291.438,2010,Transit
GJ 367 b,GJ 367,0.3219225,0.699,0.633,2021,Transit
Kepler-594 b,Kepler-594,13.64618192,2.18,,2016,Transit
Kepler-65 e,Kepler-65,258.8,,260.0,2019,Radial Velocity
HD 104985 b,HD 104985,199.68,,,2003,Radial Velocity
HIP 14810 c,HIP 14810,147.747,,,2006,Radial Velocity
Kepler-371 b,Kepler-371,34.763278,1.89,,2014,Transit
Kepler-438 b,Kepler-438,35.23319,1.12,,2015,Transit
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,,,240.0,2018,Microlensing
Kepler-214 b,Kepler-214,15.660544,2.61,,2014,Transit
Kepler-340 c,Kepler-340,22.824669,3.37,,2014,Transit
Kepler-41 b,Kepler-41,1.8555582,14.46,177.98,2011,Transit
Kepler-460 c,KIC 5437945,220.1303357,5.52,,2016,Transit
GJ 328 b,GJ 328,3771.0,,,2013,Radial Velocity
PSR B1257+12 d,PSR B1257+12,98.2114,,3.9,1992,Pulsar Timing
TOI-544 c,TOI-544,50.089,,,2023,Radial Velocity
Kepler-1419 b,Kepler-1419,42.5215895,2.86,,2016,Transit
GJ 667 C f,GJ 667 C,39.026,,,2013,Radial Velocity
Kepler-1815 b,Kepler-1815,12.19139957,2.7489262,,2021,Transit
Kepler-351 c,Kepler-351,57.24809,3.19,,2014,Transit
Kepler-656 b,Kepler-656,1.260259094,3.12,,2016,Transit
TOI-216.02,TOI-216,17.16073,8.0,18.75187601,2019,Transit
Kepler-769 c,Kepler-769,15.9870174,1.79,,2016,Transit
DH Tau b,DH Tau,,,3496.0,2004,Imaging
TOI-451 d,TOI-451,16.364988,4.07,,2020,Transit
K2-368 d,K2-368,20.201085,1.948,,2022,Transit
G 192-15 b,G 192-15,2.27476,,,2025,Radial Velocity
WASP-34 b,WASP-34,4.31768,11.209,177.9848,2010,Transit
WASP-93 b,WASP-93,2.7325321,17.900773,467.2101,2016,Transit
Kepler-1874 b,Kepler-1874,56.57320023,2.21110724,,2021,Transit
TOI-2096 b,TOI-2096,3.1190633,1.243,,2023,Transit
CoRoT-28 b,CoRoT-28,5.20851,10.704595,153.82972,2015,Transit
CoRoT-22 b,CoRoT-22,9.75598,4.88,12.2,2014,Transit
Kepler-341 e,Kepler-341,42.473269,1.99,,2014,Transit
Kepler-275 b,Kepler-275,10.300682,2.34,,2014,Transit
Kepler-1693 c,Kepler-1693,5.363709927,0.97698289,,2021,Transit
Kepler-414 c,Kepler-414,7.171,3.01,29.9,2014,Transit Timing Variations
GJ 896 A b,GJ 896 A,284.39,,718.29219982,2022,Astrometry
HD 97658 b,HD 97658,9.4897116,2.12,8.3,2010,Radial Velocity
TOI-1899 b,TOI-1899,29.090312,11.09689089,212.94503269,2020,Transit
Kepler-1379 b,Kepler-1379,0.881841146,1.3,,2016,Transit
Kepler-957 b,Kepler-957,5.907413537,5.5,,2016,Transit
HD 180053 b,HD 180053,213.72,,,2018,Radial Velocity
Kepler-1850 b,Kepler-1850,1.385800004,0.72909663,,2021,Transit
Kepler-939 b,Kepler-939,14.878296,1.75,,2016,Transit
Kepler-223 d,Kepler-223,14.78869,5.24,8.0,2014,Transit
Kepler-1719 b,Kepler-1719,6.149559975,3.95000623,,2021,Transit
TOI-715 b,TOI-715,19.288004,1.55,,2023,Transit
PDS 70 c,PDS 70,,22.86636,635.66,2019,Imaging
Kepler-29 b,Kepler-29,10.33974,2.55,5.0,2011,Transit
Kepler-220 c,Kepler-220,9.034199,1.57,,2014,Transit
TOI-4137 b,TOI-4137,3.8016122,13.57407563,457.67290608,2022,Transit
Kepler-169 f,Kepler-169,87.090195,2.58,,2014,Transit
TOI-1062 c,TOI-1062,7.972,,,2021,Radial Velocity
KOI-1599.01,KOI-1599,20.4415,1.9,4.6,2019,Transit
HD 45364 b,HD 45364,225.79,,,2008,Radial Velocity
HD 95735 c,GJ 411,2946.0,,,2021,Radial Velocity
Kepler-292 d,Kepler-292,7.055679,2.23,,2014,Transit
Kepler-1633 b,Kepler-1633,186.404271,1.58,,2016,Transit
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,,,111.0,2019,Microlensing
Kepler-347 c,Kepler-347,27.320871,1.75,,2014,Transit
Kepler-841 b,Kepler-841,124.4198398,5.23,,2016,Transit
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,,,1760.0,2020,Microlensing
TOI-1288 c,TOI-1288,416.0,,,2022,Radial Velocity
Kepler-251 b,Kepler-251,4.790936,1.33,,2014,Transit
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,,,959.84178914,2021,Microlensing
Kepler-196 c,Kepler-196,47.427737,2.24,,2014,Transit
Kepler-1228 b,Kepler-1228,0.577369579,1.54,,2016,Transit
Kepler-1859 c,Kepler-1859,3.59645081,1.66,,2023,Transit
GJ 9827 c,GJ 9827,3.648103,1.13,1.86,2017,Transit
Kepler-12 b,Kepler-12,4.4379629,19.660586,137.30256,2011,Transit
Kepler-1268 b,Kepler-1268,40.9903986,2.03,,2016,Transit
Kepler-1542 c,Kepler-1542,2.89223021,0.65,,2016,Transit
Kepler-473 b,Kepler-473,14.55731705,4.08,,2016,Transit
Kepler-273 c,Kepler-273,8.014927,1.98,,2014,Transit
Kepler-130 d,Kepler-130,87.517905,1.64,,2014,Transit
Kepler-130 c,Kepler-130,27.50868,2.9,,2014,Transit
WASP-96 b,WASP-96,3.4252602,13.45,152.55,2014,Transit
CoRoT-4 b,CoRoT-4,9.20205,13.34,228.83,2008,Transit
HD 4203 b,HD 4203,431.88,,,2001,Radial Velocity
TOI-481 b,TOI-481,10.33111,11.09691,486.2799,2020,Transit
Kepler-422 b,Kepler-422,7.8914483,12.89,136.66,2014,Transit
HD 13167 b,HD 13167,2613.0,,,2018,Radial Velocity
HD 20782 b,HD 20782,597.0643,,,2006,Radial Velocity
GJ 3293 d,GJ 3293,48.1345,,,2017,Radial Velocity
HD 94771 b,HD 94771,2164.0,,,2023,Radial Velocity
HAT-P-57 b,HAT-P-57,2.4653,19.50366,448.1403,2015,Transit
Kepler-82 c,Kepler-82,51.54,5.34,13.9,2012,Transit
OGLE-2019-BLG-1492L b,OGLE-2019-BLG-1492L,,,37.1,2022,Microlensing
HD 164922 e,HD 164922,41.763,,,2021,Radial Velocity
K2-219 c,K2-219,6.66767,1.43839723,,2018,Transit
HAT-P-37 b,HAT-P-37,2.797436,13.204,371.528,2011,Transit
Kepler-328 b,Kepler-328,34.921,2.3,28.5,2013,Transit
Kepler-310 b,Kepler-310,13.930698,1.19,,2014,Transit
TOI-1694 c,TOI-1694,393.1,,,2023,Radial Velocity
Kepler-211 c,Kepler-211,6.04045,1.29,,2014,Transit
Kepler-1610 c,Kepler-1610,44.9851885,2.09,,2023,Transit
Kepler-1204 b,Kepler-1204,85.7350285,3.05,,2016,Transit
K2-360 c,EPIC 201595106,9.79692,,,2024,Radial Velocity
EPIC 201238110 b,EPIC 201238110,28.1656,1.87,,2019,Transit
TOI-3976 A b,TOI-3976 A,6.607662,12.27383387,55.61997123,2023,Transit
Kepler-1849 b,Kepler-1849,57.29290009,2.38685349,,2021,Transit
Kepler-92 b,Kepler-92,13.749,3.51,64.3,2013,Transit
TOI-216.01,TOI-216,34.525528,10.1,177.98390792,2019,Transit
HD 191939 e,HD 191939,101.12,,,2022,Radial Velocity
KOI-4777.01,KOI-4777,0.412,0.51,99.2,2022,Transit
HAT-P-20 b,HAT-P-20,2.875317,9.718,2302.899,2010,Transit
GJ 2030 b,GJ 2030,2.38129,,,2022,Radial Velocity
Kepler-65 d,Kepler-65,8.13123,1.52,,2012,Transit
Kepler-214 c,Kepler-214,28.7798,2.13,,2014,Transit
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,,3813.940884,2024,Imaging
TOI-2537 b,TOI-2537,94.1022,11.25381662,415.40172795,2024,Transit
HAT-P-67 b,HAT-P-67,4.8101025,23.370765,108.0622,2017,Transit
Kepler-423 b,Kepler-423,2.6843285,13.361,189.101,2014,Transit
GJ 15 A c,GJ 15 A,7600.0,,,2018,Radial Velocity
HD 110113 b,HD 110113,2.541,2.05,4.55,2021,Transit
Kepler-445 d,Kepler-445,8.15275,1.25,,2015,Transit
Kepler-107 c,Kepler-107,4.901452,1.597,10.0,2014,Transit
Kepler-99 b,Kepler-99,4.60358,1.48,6.15,2014,Transit
K2-155 c,K2-155,13.85,2.6,,2018,Transit
K2-119 b,K2-119,7.727283,2.53,,2017,Transit
TOI-1273 b,TOI-1273,4.631296,11.09689089,70.55790635,2024,Transit
Kepler-258 b,Kepler-258,13.19722,4.06,,2014,Transit
GJ 740 b,GJ 740,2.37756,,,2021,Radial Velocity
Kepler-480 b,Kepler-480,4.919583795,2.78,,2016,Transit
TOI-1518 b,TOI-1518,1.902603,21.01683881,731.0053361,2021,Transit
Kepler-136 b,Kepler-136,11.5789,2.05,,2014,Transit
K2-155 b,K2-155,6.342,1.8,,2018,Transit
K2-187 e,K2-187,13.606629,1.9,,2018,Transit
TOI-849 b,TOI-849,0.765548,3.64,41.8,2020,Transit
Kepler-368 c,Kepler-368,72.379334,3.88,,2014,Transit
Kepler-1290 b,Kepler-1290,4.69500134,1.42,,2016,Transit
WASP-149 b,WASP-149,1.332813,15.24421375,314.96795134,2025,Transit
GJ 9714 b,GJ 9714,19240.75467,,2988.54051102,2022,Radial Velocity
Kepler-826 b,Kepler-826,4.48758907,1.25,,2016,Transit
KIC 8540376 b,KOI-7892,31.8099,4.1,,2015,Transit
Kepler-282 d,Kepler-282,24.806,2.46,61.0,2013,Transit
Kepler-1139 b,Kepler-1139,0.813166719,1.19,,2016,Transit
Kepler-612 b,Kepler-612,3.722156413,2.84,,2016,Transit
Kepler-1090 b,Kepler-1090,198.680179,2.25,,2016,Transit
TIC 393818343 b,TIC 393818343,16.24921,12.18416202,1379.37528638,2024,Transit
TOI-1117 c,TOI-1117,4.579,,,2025,Radial Velocity
TOI-1117 d,TOI-1117,8.665,,,2025,Radial Velocity
TOI-2407 b,TOI-2407,2.702969,4.26,,2025,Transit
Kepler-725 b,Kepler-725,39.64372,10.8,,2016,Transit
Kepler-725 c,Kepler-725,207.541,,9.7,2025,Transit Timing Variations
K2-406 b,K2-406,22.549406,4.602,,2022,Transit
HD 219134 d,HD 219134,46.859,1.61,16.17,2015,Radial Velocity
MOA-2011-BLG-291L b,MOA-2011-BLG-291L,,,18.0,2018,Microlensing
CoRoT-9 b,CoRoT-9,95.272656,11.948794,266.9772,2009,Transit
Kepler-31 c,Kepler-31,42.6318,5.3,1493.7,2011,Transit
TOI-5803 b,TOI-5803,5.38305,3.2732,,2023,Transit
K2-220 b,K2-220,13.683256,2.39,,2018,Transit
Kepler-1952 b,Kepler-1952,27.21080017,1.23923346,,2021,Transit
GJ 1148 c,GJ 1148,532.58,,,2017,Radial Velocity
GJ 504 b,GJ 504,,,1271.3,2013,Imaging
HD 457 b,HD 457,20324.58153,,8445.3364308,2022,Radial Velocity
HD 42813 b,HD 42813,13.6308205,3.41,9.1,2023,Transit
HATS-50 b,HATS-50,3.8297015,12.66617,123.9537,2017,Transit
Kepler-1372 b,Kepler-1372,1.311555568,1.27,,2016,Transit
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,,,4.08,2023,Microlensing
HD 55696 b,HD 55696,1827.0,,,2018,Radial Velocity
K2-14 b,K2-14,8.36802,4.81,,2015,Transit
K2-156 b,K2-156,0.813143,1.1,,2018,Transit
K2-271 b,K2-271,8.562421,7.28,,2018,Transit
Kepler-167 c,Kepler-167,7.406106,1.674,,2014,Transit
Kepler-11 f,Kepler-11,46.6888,2.49,2.0,2010,Transit
Kepler-344 b,Kepler-344,21.963945,2.61,,2014,Transit
Kepler-241 b,Kepler-241,12.718092,2.33,,2014,Transit
Kepler-598 c,Kepler-598,86.4945,3.02420941,,2020,Transit
Kepler-731 b,Kepler-731,3.855603551,13.88,,2016,Transit
HD 151450 c,HD 151450,18144.76236,,1636.18063924,2022,Radial Velocity
PH1 b,PH1,138.317,6.18,169.0,2012,Transit
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,,,3.54,2023,Microlensing
TOI-837 b,TOI-837,8.3249113,9.16894621,120.45696625,2020,Transit
DP Leo b,DP Leo,10220.0,,,2009,Eclipse Timing Variations
TOI-4860 b,TOI-4860,1.5227591,8.7,86.7,2023,Transit
NGTS-3 A b,NGTS-3 A,1.6753728,16.58932,756.4354,2018,Transit
Kepler-1880 b,Kepler-1880,6.309219837,2.11686218,,2021,Transit
PSR B1257+12 c,PSR B1257+12,66.5419,,4.3,1992,Pulsar Timing
HAT-P-6 b,HAT-P-6,3.85298,16.58932,419.5356,2007,Transit
K2-166 b,K2-166,8.52695,2.19,,2018,Transit
K2-239 c,K2-239,7.775,1.0,,2018,Transit
TOI-5110 b,TOI-5110,30.158577,11.98240037,921.7023803,2024,Transit
Kepler-1303 b,Kepler-1303,7.56127224,1.42,,2016,Transit
EPIC 201615463 c,K2-166,3.80464,1.22,,2019,Transit
Wendelstein-1 b,Wendelstein-1,2.663416,11.5609626,188.15536,2020,Transit
HD 140901 c,HD 140901,14386.0,,572.0911326,2022,Radial Velocity
HD 21693 b,HD 21693,22.6786,,,2019,Radial Velocity
TOI-733 b,TOI-733,4.884765,1.992,5.72,2023,Transit
Kepler-1907 b,Kepler-1907,5.652450085,0.86973029,,2021,Transit
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,,,1166.43025369,2022,Microlensing
Kepler-1542 d,Kepler-1542,5.99273738,0.87,,2016,Transit
HIP 90988 b,HIP 90988,455.73816,,,2021,Radial Velocity
Kepler-359 d,Kepler-359,77.095691,4.01,,2014,Transit
LP 714-47 b,LP 714-47,4.052037,4.7,30.8,2020,Transit
Kepler-1305 b,Kepler-1305,13.5630972,1.88,,2016,Transit
HD 145377 b,HD 145377,103.95,,,2008,Radial Velocity
Kepler-148 c,Kepler-148,4.180043,3.6,,2014,Transit
Kepler-770 c,Kepler-770,1.475322314,1.2,,2016,Transit
WASP-26 b,WASP-26,2.7566,13.56289,270.1555,2010,Transit
Kepler-81 c,Kepler-81,12.04,2.37,,2012,Transit
HD 20794 f,HD 20794,647.6,,,2025,Radial Velocity
Kepler-385 b,Kepler-385,10.043686,2.73,,2014,Transit
Kepler-418 c,Kepler-418,12.21829987,5.22108654,,2021,Transit
K2-268 d,K2-268,4.528598,1.49,,2021,Transit
WASP-74 b,WASP-74,2.13775,15.24424,228.8376,2015,Transit
24 Sex b,24 Sex,452.8,,,2010,Radial Velocity
Kepler-1040 b,Kepler-1040,201.1214,2.08,,2016,Transit
HD 25171 b,HD 25171,1802.29,,,2010,Radial Velocity
Kepler-561 b,Kepler-561,58.3620495,6.96,,2016,Transit
V1298 Tau d,V1298 Tau,12.4032,6.41,,2019,Transit
HD 108236 c,HD 108236,6.203449,2.071,,2020,Transit
TOI-1130 c,TOI-1130,8.3501898,13.0,336.0,2020,Transit
Kepler-1408 b,Kepler-1408,2.99793191,0.89,,2016,Transit
OGLE-TR-111 b,OGLE-TR-111,4.0144463,11.421971,,2004,Transit
WASP-184 b,WASP-184,5.1817,14.90797,181.1631,2019,Transit
HD 18143 c,HD 18143,28982.41764,,3177.64841319,2022,Radial Velocity
LHS 1678 d,LHS 1678,4.9652229,0.981,,2024,Transit
HD 42618 b,HD 42618,149.61,,,2016,Radial Velocity
Kepler-265 b,Kepler-265,6.846262,1.86,,2014,Transit
Kepler-203 d,Kepler-203,11.32972,1.44,,2014,Transit
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,,,73.10053361,2022,Microlensing
Kepler-781 b,Kepler-781,13.2140732,2.89,,2016,Transit
TOI-700 e,TOI-700,27.80978,0.953,,2023,Transit
HATS-10 b,HATS-10,3.312846,10.861521,167.17858,2015,Transit
Kepler-1195 b,Kepler-1195,8.49642241,2.08,,2016,Transit
AU Mic b,AU Mic,8.46308,3.95677019,,2020,Transit
Kepler-405 b,Kepler-405,10.613839,2.08,,2014,Transit
Kepler-63 b,Kepler-63,9.4341505,6.11,120.0,2013,Transit
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,,,181.16219199,2022,Microlensing
TOI-2076 e,TOI-2076,3.0223445,1.355,,2025,Transit
Kepler-1441 b,Kepler-1441,39.4419839,1.31,,2016,Transit
EPIC 201833600 c,K2-50,3.96151,1.0,,2019,Transit
XO-3 b,XO-3,3.19154,15.80469,2316.9807,2007,Transit
Kepler-1276 b,Kepler-1276,12.5720095,1.19,,2016,Transit
Kepler-1083 b,Kepler-1083,33.4177993,3.36,,2016,Transit
Kepler-992 b,Kepler-992,20.16034462,1.62,,2016,Transit
MOA-2010-BLG-353L b,MOA-2010-BLG-353L,,,86.0,2015,Microlensing
K2-224 b,K2-224,4.47904,1.56,,2018,Transit
Kepler-364 c,Kepler-364,59.980627,2.15,,2014,Transit
K2-6 b,K2-6,30.94191,2.5,,2015,Transit
HATS-23 b,HATS-23,2.1605156,20.84874,467.2101,2017,Transit
TOI-5238 b,TOI-5238,4.872171,5.22,,2022,Transit
TOI-1410.01,TOI-1410,1.21687,3.10083009,12.5,2024,Transit
HD 110067 g,HD 110067,54.76992,2.607,8.4,2023,Transit
Kepler-1433 b,Kepler-1433,4.13592271,1.56,,2016,Transit
TOI-1759 b,TOI-1759,18.85019,3.14,10.8,2022,Transit
HD 152843 c,HD 152843,24.38,5.83,27.5,2021,Transit
Kepler-62 f,Kepler-62,267.291,1.41,35.0,2013,Transit
Kepler-1247 b,Kepler-1247,13.71220213,2.33,,2016,Transit
HD 97048 b,HD 97048,,,794.575,2019,Disk Kinematics
Kepler-1360 b,Kepler-1360,40.5286413,3.4,,2016,Transit
Kepler-1664 b,Kepler-1664,14.3868,3.03320653,,2020,Transit
Kepler-1487 c,Kepler-1487,35.8007112,7.97,,2023,Transit
HD 208897 b,HD 208897,358.27,,,2017,Radial Velocity
TOI-1279 b,TOI-1279,9.61419,2.66146528,10.6,2024,Transit
TOI-132 b,TOI-132,2.1097019,3.42,22.4,2020,Transit
WASP-127 b,WASP-127,4.17806203,14.694999,52.346601,2016,Transit
Kepler-286 c,Kepler-286,3.468095,1.37,,2014,Transit
Kepler-87 b,Kepler-87,114.73635,13.49,324.2,2013,Transit
DMPP-1 e,DMPP-1,5.516,,,2019,Radial Velocity
TOI-3071 b,TOI-3071,1.266938,7.16,68.2,2024,Transit
Kepler-1316 b,Kepler-1316,87.9732136,3.54,,2016,Transit
K2-171 b,K2-171,5.628466,2.68657205,,2018,Transit
HD 183263 b,HD 183263,624.87404,,,2004,Radial Velocity
Kepler-1964 b,Kepler-1964,2.440829992,1.7810587,,2021,Transit
Kepler-408 b,Kepler-408,2.46502,0.82,5.0,2014,Transit
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,,,83.7,2018,Microlensing
TOI-431 c,TOI-431,4.8494,,,2021,Radial Velocity
Kepler-314 c,Kepler-314,5.960392,2.9,,2014,Transit
Kepler-318 b,Kepler-318,4.662715,4.71,,2014,Transit
Kepler-314 b,Kepler-314,2.461069,0.83,,2014,Transit
Kepler-40 b,Kepler-40,6.87349,13.11,699.2,2010,Transit
HAT-P-2 b,HAT-P-2,5.6335158,,,2007,Transit
GJ 357 c,GJ 357,9.1247,,,2019,Radial Velocity
KIC 3526061 b,KIC 3526061,3552.0,,,2022,Radial Velocity
Kepler-300 c,Kepler-300,40.714955,2.25,,2014,Transit
Kepler-779 b,Kepler-779,7.09714223,0.92,,2016,Transit
GJ 687 c,GJ 687,727.562,,,2020,Radial Velocity
Kepler-413 b,Kepler-413,66.262,4.347,67.0,2014,Transit
Kepler-213 b,Kepler-213,2.46236,1.62,,2014,Transit
K2-122 b,K2-122,2.2193023,1.16,,2017,Transit
TOI-178 b,TOI-178,1.914558,1.152,1.5,2021,Transit
TOI-178 c,TOI-178,3.23845,1.669,4.77,2021,Transit
TOI-178 e,TOI-178,9.961881,2.207,3.86,2021,Transit
TOI-178 f,TOI-178,15.231915,2.287,7.72,2021,Transit
TOI-178 g,TOI-178,20.7095,2.87,3.94,2021,Transit
TOI-2207 b,TOI-2207,8.001968,11.1529358,203.41018048,2022,Transit
TOI-244 b,TOI-244,7.397225,1.52,2.68,2023,Transit
TOI-913 b,TOI-913,11.098644,2.4528,,2023,Transit
LTT 1445 A b,LTT 1445 A,5.35876,1.18,,2019,Transit
GJ 357 b,GJ 357,3.9306,1.2,,2019,Transit
HATS-36 b,HATS-36,4.175186,12.92,,2018,Transit
Kepler-1128 b,Kepler-1128,61.6178167,3.65,,2016,Transit
EPIC 212624936 c,EPIC 212624936,11.811437,2.3,,2021,Transit
Kepler-969 c,Kepler-969,1.682934604,0.99,,2016,Transit
Kepler-431 b,Kepler-431,6.803,0.764,,2015,Transit
Kepler-1017 b,Kepler-1017,7.23400469,1.99,,2016,Transit
K2-350 c,K2-350,19.991944,2.74,,2016,Transit
HD 60532 b,HD 60532,201.9,,,2008,Radial Velocity
LHS 1140 b,LHS 1140,24.73723,1.73,5.6,2017,Transit
LHS 1140 c,LHS 1140,3.77794,1.272,1.91,2018,Transit
TOI-2969 b,TOI-2969,1.8237146,12.32987877,368.68095212,2025,Transit
TOI-2989 b,TOI-2989,3.122832,12.55405838,953.485221,2025,Transit
TOI-5300 b,TOI-5300,2.262196,9.86390302,190.6970442,2025,Transit
MASCARA-4 b,MASCARA-4,2.8240932,16.98160576,532.36258173,2020,Transit
TOI-1468 b,TOI-1468,1.8805201,1.401,3.04,2022,Transit
TOI-1468 c,TOI-1468,15.532477,2.126,4.1,2022,Transit
Kepler-10 b,Kepler-10,0.8374907,1.47,3.24,2011,Transit
Kepler-10 c,Kepler-10,45.294301,2.355,11.29,2011,Transit
Kepler-10 d,Kepler-10,151.06,,,2023,Radial Velocity
Kepler-701 b,Kepler-701,10.35533177,2.84,,2016,Transit
NGTS-26 b,NGTS-26,4.5199279,14.88552637,92.80589484,2024,Transit
Kepler-511 c,Kepler-511,26.62949944,4.20964327,,2021,Transit
K2-62 c,K2-62,16.1966,2.14,,2016,Transit
TOI-470 b,TOI-470,12.19148,4.34,,2023,Transit
Kepler-1115 b,Kepler-1115,23.5540725,1.7,,2016,Transit
TOI-4600 b,TOI-4600,82.6869,6.8,959.84178914,2023,Transit
LP 791-18 d,LP 791-18,2.753436,1.032,0.9,2023,Transit
TOI-5319 b,TOI-5319,4.07853,2.83,,2024,Transit
Kepler-1386 b,Kepler-1386,6.73972381,1.24,,2016,Transit
K2-250 b,K2-250,4.01392,2.71257333,,2018,Transit
K2-229 b,K2-229,0.584216,1.0,,2018,Transit
SPECULOOS-3 b,SPECULOOS-3,0.71912603,0.977,,2024,Transit
HD 211403 b,HD 211403,223.8,,,2021,Radial Velocity
K2-39 b,K2-39,4.60543,6.27704,28.6047,2016,Transit
HD 156668 c,HD 156668,811.3,,,2021,Radial Velocity
HATS-15 b,HATS-15,1.74748753,12.385945,689.6911,2016,Transit
Kepler-1213 b,Kepler-1213,5.34982412,1.19,,2016,Transit
HD 64121 b,HD 64121,623.0,,,2022,Radial Velocity
Kepler-1016 c,Kepler-1016,105.6551369,3.68,,2016,Transit
CoRoT-5 b,CoRoT-5,4.0378962,15.558,148.42,2009,Transit
Kepler-1941 b,Kepler-1941,31.33510017,2.64976949,,2021,Transit
KMT-2021-BLG-2609L b,KMT-2021-BLG-2609L,,,10.17050902,2024,Microlensing
HAT-P-29 b,HAT-P-29,5.72319,13.11453,279.6904,2011,Transit
HD 1605 b,HD 1605,577.2,,,2015,Radial Velocity
Kepler-962 b,Kepler-962,12.05707239,1.97,,2016,Transit
K2-270 b,K2-270,1.543069,1.38,,2018,Transit
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,,,67.3,2010,Microlensing
K2-260 b,K2-260,2.62669762,18.41635529,546.66486004,2018,Transit
Kepler-1542 e,Kepler-1542,5.10115756,0.76,,2016,Transit
Kepler-792 b,Kepler-792,11.30119217,1.96,,2016,Transit
K2-126 b,K2-126,7.385655,1.97,,2017,Transit
WASP-85 A b,WASP-85 A,2.6556777,13.89916,402.05495,2016,Transit
GJ 3222 b,GJ 3222,10.66669,,,2022,Radial Velocity
Kepler-305 c,Kepler-305,8.291,3.3,6.0,2013,Transit
HD 136418 b,HD 136418,464.29999,,,2009,Radial Velocity
Kepler-1381 b,Kepler-1381,25.3842686,2.25,,2016,Transit
WASP-25 b,WASP-25,3.76483,11.99363,139.8452,2010,Transit
Kepler-1821 b,Kepler-1821,16.45809937,2.59248115,,2021,Transit
Kepler-1107 b,Kepler-1107,0.571038518,1.34,,2016,Transit
Kepler-985 b,Kepler-985,116.331901,2.98,,2016,Transit
Proxima Cen b,Proxima Cen,11.1868,,,2016,Radial Velocity
Kepler-829 b,Kepler-829,6.88337562,2.11,,2016,Transit
TOI-3894 b,TOI-3894,4.33454,15.27784069,260.61929374,2024,Transit
NN Ser d,NN Ser,2883.5,,731.0,2010,Eclipse Timing Variations
Kepler-345 c,Kepler-345,9.387427,1.2,,2014,Transit
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,,,664.26137063,2021,Microlensing
Kepler-1038 b,Kepler-1038,148.4603382,3.53,,2016,Transit
TOI-1782.02,TOI-1782,1.829024227,1.839,,2024,Transit
K2-367 b,K2-367,20.645099,2.413,,2022,Transit
